question,answer,explanation,evidence_KG,hop,target_protein_id,interaction_count
"Protein APC (P05549) forms a complex with Axin and GSK3B to regulate β-catenin degradation. In a colorectal cancer cell line with a mutation in Axin that disrupts its binding to APC, but where GSK3B is overexpressed and active, what is the most likely effect on β-catenin levels and why?",β-catenin accumulates (high levels),"1. The APC–Axin–GSK3B complex normally phosphorylates β-catenin, targeting it for degradation. 2. Axin serves as a scaffold bridging APC and GSK3B. 3. The Axin mutation disrupts its binding to APC, preventing complex formation. 4. Without the complex, β-catenin cannot be efficiently phosphorylated by GSK3B. 5. Overexpression of active GSK3B cannot compensate because the scaffold (Axin) is defective, leaving GSK3B unable to interact with APC and β-catenin in the degradation complex. 6. Therefore, β-catenin escapes degradation and accumulates, driving oncogenic signaling.","[""(APC, binds, Axin)"", ""(Axin, binds, GSK3B)"", ""(APC:Axin:GSK3B, phosphorylates, β-catenin)"", ""(Phosphorylated_β-catenin, degraded, via_proteasome)"", ""(Axin_mutant, disrupts_binding_to, APC)"", ""(Overexpressed_GSK3B, cannot_form_complex, without_Axin_scaffold)""]",6,uniprotkb:P05549,69
"Protein Q96SD1 (H2AFX) is part of a complex that requires phosphorylation by ATM (Q13315) for DNA damage repair. A cell line expresses wild-type H2AFX, ATM, and MDC1 (Q14676). If MDC1 has a mutation that prevents its recruitment to DNA damage sites, and ATM is inhibited, what is the net effect on H2AFX phosphorylation?",No phosphorylation,"1. DNA damage triggers ATM activation and autophosphorylation. 2. ATM phosphorylates H2AFX at Ser139 (γH2AX). 3. MDC1 binds to γH2AX and recruits more ATM to amplify the signal. 4. The MDC1 mutation prevents recruitment, so ATM amplification fails. 5. ATM inhibition blocks its kinase activity. 6. Without active ATM, H2AFX cannot be phosphorylated, even if MDC1 were functional. The combined blockade at both upstream (ATM inhibition) and feedback (MDC1 mutation) levels ensures no phosphorylation.","[""(DNA_damage, activates, ATM)"", ""(ATM, phosphorylates, H2AFX)"", ""(phospho_H2AFX, recruits, MDC1)"", ""(MDC1, recruits, ATM)"", ""(MDC1_mutant, prevents, recruitment)"", ""(ATM_inhibitor, blocks, ATM_kinase_activity)""]",6,uniprotkb:Q96SD1,69
"The target protein (Uniprot:O15550) is a core histone involved in nucleosome assembly. It interacts with histone H3.1 (P68431), H4 (P62805), H2A (Q71DI3), and H3.3 (P84243) in distinct complexes (R-HSA-6810133, R-HSA-6810160, R-HSA-6810166). If a mutation in histone H3.1 prevents its incorporation into the nucleosome, but histone H3.3 remains functional and overexpressed, can the nucleosome assemble correctly? Apply AND-gate or Epistasis logic to explain.","No, nucleosome assembly fails (AND-gate constraint)","1. Nucleosome assembly requires specific stoichiometric combinations of histones. 2. Complex R-HSA-6810133 (H3.1-specific) and R-HSA-6810166 (H3.3-specific) are mutually exclusive pathways. 3. H3.1 and H3.3 are paralogs but form distinct complexes; they cannot substitute for each other. 4. The mutation in H3.1 disrupts its incorporation into the H3.1-specific complex. 5. Overexpression of H3.3 cannot rescue the H3.1-complex defect because they belong to separate assembly pathways. 6. Since both complexes are required for complete nucleosome coverage (AND-gate), failure in either leads to partial assembly defects.","[""(O15550, interacts_with, P68431 (H3.1) in R-HSA-6810133)"", ""(O15550, interacts_with, P84243 (H3.3) in R-HSA-6810166)"", ""(R-HSA-6810133, requires, H3.1)"", ""(R-HSA-6810166, requires, H3.3)"", ""(H3.1_mutant, disrupts, R-HSA-6810133)"", ""(H3.3_overexpression, cannot_rescue, H3.1_defect)""]",6,uniprotkb:O15550,69
"Protein BECN1 (Q14457) forms a complex with VPS34 and other proteins to regulate autophagy. In a cell line where BECN1 is mutated such that it cannot bind to PIK3R4, but VPS34 is overexpressed with a constitutively active mutation, what is the most likely effect on autophagy initiation?",Autophagy initiation is impaired,"1. BECN1 is a core component of the VPS34 complex, which includes VPS34 (PIK3C3), PIK3R4 (VPS15), and others. 2. Autophagy initiation requires the functional assembly of this complex to produce PI3P. 3. The BECN1 mutation prevents its interaction with PIK3R4, disrupting complex formation. 4. VPS34 requires scaffolding by BECN1 and regulatory input from PIK3R4 for proper localization and activity. 5. Overexpression of constitutively active VPS34 cannot compensate for the lack of complex assembly because PI3P production depends on the coordinated function of the entire complex (bottleneck constraint). 6. Therefore, autophagy initiation fails due to the defective complex assembly, despite hyperactive VPS34.","[""(BECN1, interacts_with, PIK3R4)"", ""(BECN1, interacts_with, VPS34)"", ""(VPS34, part_of, VPS34_complex)"", ""(PIK3R4, part_of, VPS34_complex)"", ""(VPS34_complex, produces, PI3P)"", ""(PI3P, required_for, autophagy_initiation)"", ""(BECN1_mutant, cannot_bind, PIK3R4)"", ""(VPS34_active_mutant, overexpressed)""]",6,uniprotkb:Q14457,68
"Protein ChEBI:71406 (cAMP) is produced by ADCY7 and degraded by PDE4D. In a neuron where PACAP stimulation activates PAC1 to enhance ADCY7 activity, but a PDE4D inhibitor is applied concurrently. However, ADCY7 carries a loss-of-function mutation that reduces its catalytic activity. What is the net effect on intracellular cAMP levels, and why?",Moderate Increase (not synergistic),"1. PACAP activates PAC1, which normally stimulates ADCY7. 2. ADCY7 produces cAMP, elevating intracellular cAMP. 3. PDE4D degrades cAMP, and its inhibition reduces degradation. 4. The ADCY7 mutation impairs cAMP production, limiting the upstream activation effect. 5. Reduced degradation compensates for the impaired production, leading to a moderate increase in cAMP, but not the synergistic effect expected if both interventions were fully effective.","[""(PACAP, activates, PAC1)"", ""(PAC1, interacts_with, ADCY7)"", ""(ADCY7, produces, cAMP)"", ""(PDE4D, degrades, cAMP)"", ""(PDE4D_inhibitor, blocks, PDE4D)"", ""(ADCY7_mutant, reduces, catalytic_activity)""]",6,ChEBI:71406,68
"Protein RB1 (P06400) forms a complex with E2F1 (Q01094), E2F2 (Q14209), E2F3 (Q01094), E2F4 (Q16254), and DP1 (Q14186) or DP2 (Q14188) to regulate the G1/S transition. In a cell line where both E2F1 and E2F3 are knocked out, but DP1 and DP2 are overexpressed, what is the net effect on RB1-mediated repression of S-phase genes? Assume RB1 is functional and not phosphorylated. Justify based on the stoichiometry and essential components.",Persistent Repression,"1. RB1 represses E2F-DP heterodimers by binding and masking their transactivation domains. 2. E2F1 and E2F3 are specific E2F family members that, when bound to DP1/DP2, activate S-phase genes. 3. Knocking out E2F1 and E2F3 removes the key activating partners for DP1/DP2. 4. Overexpressed DP1 and DP2 can still form heterodimers with other E2Fs (e.g., E2F4), but E2F4-DP complexes are repressive when bound to RB1. 5. RB1 remains functional and unphosphorylated, so it actively represses any E2F-DP complexes it binds. 6. Without E2F1/E2F3, there is no dominant activation signal; thus, RB1-mediated repression persists.","[""(RB1, represses, E2F-DP_heterodimer)"", ""(E2F-DP_heterodimer, requires, E2F_and_DP)"", ""(E2F1, forms_heterodimer_with, DP1_or_DP2)"", ""(E2F3, forms_heterodimer_with, DP1_or_DP2)"", ""(E2F4, forms_heterodimer_with, DP1_or_DP2)"", ""(E2F1-DP, activates, S-phase_genes)"", ""(E2F3-DP, activates, S-phase_genes)"", ""(E2F4-DP, represses, S-phase_genes_when_bound_to_RB1)"", ""(RB1_unphosphorylated, active_repressor)""]",6,uniprotkb:P06400,68
"In a neuronal cell, HDAC1 (O60341) forms a complex with SIN3A (Q9UKL0), SAP30 (Q9H147), and REST (Q13127). REST normally recruits this complex to repress neuronal genes. If a mutation in SIN3A disrupts its interaction with HDAC1, but HDAC1 is overexpressed and retains binding to REST, what is the likely effect on repression of neuronal genes? Justify based on the complex assembly.",Partial loss of repression,"1. HDAC1 is part of a repressor complex with SIN3A, SAP30, and REST. 2. REST recruits the complex to target genes. 3. The SIN3A mutation disrupts HDAC1–SIN3A interaction, impairing full complex assembly. 4. However, overexpressed HDAC1 can still bind REST directly or through other partners (e.g., SAP30). 5. Without SIN3A, the complex may lack full deacetylase activity or stability, but residual repression occurs via REST-bound HDAC1. 6. Thus, repression is partially but not fully lost.","[""(HDAC1, interacts_with, SIN3A)"", ""(HDAC1, interacts_with, REST)"", ""(HDAC1, interacts_with, SAP30)"", ""(REST, recruits, repressor_complex)"", ""(repressor_complex, represses, neuronal_genes)"", ""(SIN3A_mutant, disrupts, HDAC1_interaction)""]",6,uniprotkb:O60341,68
"The transcription factor STAT1 (Q14974) forms a complex with STAT2 (P52630) and IRF9 (Q00978) to form the ISGF3 complex, which translocates to the nucleus upon interferon stimulation. In a cell line where STAT2 carries a dominant-negative mutation that prevents its interaction with STAT1, but IRF9 is overexpressed, what is the expected outcome for ISGF3-mediated gene expression?",No gene expression activation,"1. ISGF3 complex formation requires STAT1, STAT2, and IRF9. 2. STAT2 serves as a bridge between STAT1 and IRF9. 3. A dominant-negative STAT2 mutation prevents STAT1 binding, disrupting the complex assembly. 4. Overexpression of IRF9 cannot compensate for the missing STAT1–STAT2 interaction. 5. Without functional ISGF3 complex formation, nuclear translocation and gene expression activation cannot occur.","[""(STAT1, interacts_with, STAT2)"", ""(STAT2, interacts_with, IRF9)"", ""(STAT1–STAT2–IRF9, forms, ISGF3_complex)"", ""(STAT2_dominant_negative, blocks, STAT1_interaction)"", ""(IRF9_overexpressed, cannot_compensate, STAT1–STAT2_disruption)""]",5,uniprotkb:Q14974,68
"In a signaling cascade, IGF1 binds to IGF1R (P08069), which then activates IRS1 (P29353) and downstream pathways. A mutation in IRS1 prevents its phosphorylation by IGF1R. Simultaneously, a drug blocks IGF1 binding to IGF1R. However, overexpression of a constitutively active IGF1R mutant restores downstream signaling. What does this imply about the relationship between IGF1R and IRS1, and why does the rescue occur?",IRS1 is downstream of IGF1R and the constitutively active IGF1R bypasses the need for IGF1 binding and IRS1 phosphorylation,"1. IGF1 binding to IGF1R normally leads to IGF1R activation and phosphorylation of IRS1. 2. Phosphorylated IRS1 activates downstream signaling pathways. 3. The mutation in IRS1 prevents its phosphorylation, blocking downstream signaling. 4. The drug blocking IGF1 binding prevents IGF1R activation, further inhibiting signaling. 5. The constitutively active IGF1R mutant does not require IGF1 binding for activation. 6. Overexpression of this mutant leads to continuous phosphorylation of IRS1, bypassing both the drug blockade and the IRS1 mutation, restoring downstream signaling.","[""(IGF1, binds_to, IGF1R)"", ""(IGF1R, phosphorylates, IRS1)"", ""(IRS1_phosphorylated, activates, downstream_pathways)"", ""(IGF1R_constitutive_active, phosphorylates, IRS1_independently)"", ""(Drug, blocks, IGF1_binding_to_IGF1R)"", ""(IRS1_mutant, prevents_phosphorylation)""]",6,uniprotkb:P08069,68
"Protein HSF1 (P0DMV9) is activated by heat shock, leading to its trimerization and binding to HSE elements. However, a mutant form of HSF1 (HSF1-D) cannot bind to DNA. If wild-type HSF1 and HSF1-D are co-expressed in a 1:1 ratio under heat shock conditions, what is the expected effect on transcription of HSP genes, and why?",Significant Reduction (dominant negative effect),"1. HSF1 trimerizes upon activation. 2. The functional trimer must bind HSE to activate transcription. 3. HSF1-D lacks DNA-binding ability. 4. In heterotrimers (mixed WT and mutant subunits), the defective subunit disrupts DNA binding. 5. Therefore, even one mutant subunit in a trimer poisons the complex, blocking transcription.","[""(Heat_shock, activates, HSF1)"", ""(HSF1, trimerizes, HSF1_trimer)"", ""(HSF1_trimer, binds, HSE)"", ""(HSF1_trimer, activates_transcription, HSP_genes)"", ""(HSF1-D, cannot_bind, DNA)""]",5,uniprotkb:P0DMV9,68
"Protein HSF1 (P0DMV8) is activated by heat shock and forms a trimer with HSP90 (P19525) and HSP70 (Q00613). In a cell line with a constitutively active HSF1 mutant and a loss-of-function mutation in HSP90, what is the expected outcome on the transcription of heat shock response genes, and why?",Gene transcription occurs despite HSP90 mutation,"1. HSF1 normally requires trimerization with HSP90 and HSP70 for activation upon heat shock. 2. The constitutively active HSF1 mutant bypasses the need for activation signals and co-factors. 3. HSP90 acts as a negative regulator by sequestering HSF1 in the cytoplasm. 4. Loss-of-function HSP90 mutation prevents this sequestration. 5. Thus, the active HSF1 mutant is freed from inhibition and can drive transcription independently.","[""(HSF1, interacts_with, HSP90)"", ""(HSF1, interacts_with, HSP70)"", ""(HSP90, inhibits, HSF1_activation)"", ""(HSF1_active_mutant, bypasses, activation_requirement)"", ""(HSP90_mutant, loses, inhibitory_function)""]",5,uniprotkb:P0DMV8,68
"Protein CUL1 (Q99558) forms a complex with SKP1 (Q9Y275) and SKP2 (Q96RJ3) as part of the SCF complex. In a cell with a gain-of-function mutation in SKP2 that enhances its binding to CUL1, but a loss-of-function mutation in SKP1 that disrupts its interaction with CUL1, what is the net effect on the SCF complex assembly and function?",Impaired assembly and function due to SKP1 loss-of-function,"1. SCF complex assembly requires SKP1 to bridge SKP2 and CUL1. 2. Gain-of-function in SKP2 enhances its binding to CUL1, but SKP2 cannot directly bind CUL1 without SKP1. 3. SKP1 loss-of-function disrupts the essential bridging function. 4. Therefore, despite enhanced SKP2 binding affinity, the complex cannot form properly without SKP1. 5. This results in impaired ubiquitin ligase activity of the SCF complex.","[""(SKP1, bridges, SKP2)"", ""(SKP1, binds, CUL1)"", ""(SKP2, binds, SKP1)"", ""(CUL1, binds, SKP1)"", ""(SCF_complex, requires, SKP1)"", ""(SKP2_gain_of_function, enhances, SKP2-CUL1_binding_attempt)"", ""(SKP1_loss_of_function, disrupts, SKP1-CUL1_interaction)""]",6,uniprotkb:Q99558,67
"The protein GSK3B (P62745) forms a complex with Axin1 (O15116) and APC (Q13464) to facilitate the phosphorylation and degradation of β-catenin. In a cell line with a mutation in Axin1 that disrupts its interaction with APC, what is the consequence for β-catenin stability? Assume GSK3B is wild-type and functional.",β-catenin accumulates,"1. The destruction complex requires Axin1, APC, and GSK3B to form a functional unit. 2. Axin1 acts as a scaffold bridging APC and GSK3B. 3. The Axin1 mutation disrupts its interaction with APC, preventing proper complex assembly. 4. Without a complete complex, GSK3B cannot efficiently phosphorylate β-catenin. 5. Unphosphorylated β-catenin escapes degradation and accumulates in the cell.","[""(GSK3B, interacts_with, Axin1)"", ""(GSK3B, interacts_with, APC)"", ""(Axin1, interacts_with, APC)"", ""(Destruction_complex, facilitates, β-catenin_phosphorylation)"", ""(β-catenin_phosphorylation, leads_to, degradation)""]",5,uniprotkb:P62745,67
"Protein NCAM1 (O60500) interacts with FGF Receptor 1 (FGFR1, P16333) to promote neurite outgrowth. In a neuron expressing both NCAM1 and FGFR1, but with a dominant-negative mutation in FGFR1 that disrupts its kinase activity, what is the expected effect on neurite outgrowth, and why?",Reduced neurite outgrowth,"1. NCAM1 binds to FGFR1, activating its kinase domain. 2. Activated FGFR1 phosphorylates downstream targets (e.g., FRS2, O43639) to initiate signaling cascades for neurite outgrowth. 3. A dominant-negative FGFR1 mutant lacks kinase activity but can still bind NCAM1. 4. The mutant FGFR1 sequesters NCAM1 away from functional FGFR1 complexes. 5. This prevents activation of downstream signaling even if wild-type FGFR1 is present. 6. Thus, neurite outgrowth is reduced due to the 'poisoning' effect of the mutant.","[""(NCAM1, interacts_with, FGFR1)"", ""(FGFR1, phosphorylates, FRS2)"", ""(FRS2, activates, MAPK_pathway)"", ""(MAPK_pathway, promotes, neurite_outgrowth)"", ""(FGFR1_dominant_negative, binds, NCAM1)"", ""(FGFR1_dominant_negative, lacks, kinase_activity)""]",6,uniprotkb:O60500,67
